"Office Location","Activity Type","Site Name","Pollution Level Detected"
Newcastle,"Air Quality Check","Charlestown Park",288.12
Perth,"Water Quality Test","Heaton State Forest",288.11
Adelaide,"Noise Level Measurement","King Edward Park",287.97
"Gold Coast","Air Quality Check","Toronto Foreshore",287.93
Adelaide,"Noise Level Measurement","Awaba State Forest",287.89
Canberra,"Soil Quality Test","Nobbys Beach",287.88
Melbourne,"Water Quality Test","Blackbutt Nature Reserve",287.73
Hobart,"Soil Quality Test","Glenrock State Conservation Area",287.72
Darwin,"Soil Quality Test","King Edward Park",287.66
Newcastle,"Soil Quality Test","Awaba State Forest",287.59
Sydney,"Air Quality Check","Speers Point Park",287.59
Canberra,"Noise Level Measurement","Richley Reserve",287.53
"Gold Coast","Air Quality Check","Hunter Wetlands Centre",287.45
Perth,"Soil Quality Test","Croudace Bay Park",287.45
Melbourne,"Soil Quality Test","Jesmond Park",287.43
Canberra,"Soil Quality Test","Richley Reserve",287.4
Hobart,"Noise Level Measurement","Waratah Park",287.33
Melbourne,"Soil Quality Test","Croudace Bay Park",287.23
Canberra,"Water Quality Test","Charlestown Park",287.13
Canberra,"Water Quality Test","Warners Bay Foreshore",287.12
Perth,"Water Quality Test","Warners Bay Foreshore",287.09
Perth,"Soil Quality Test","Croudace Bay Park",287.05
"Gold Coast","Noise Level Measurement","Toronto Foreshore",286.78
Hobart,"Noise Level Measurement","Charlestown Park",286.72
Sydney,"Soil Quality Test","Hunter Wetlands Centre",286.7
Melbourne,"Water Quality Test","Warners Bay Foreshore",286.68
Brisbane,"Soil Quality Test","Mount Sugarloaf",286.62
Adelaide,"Air Quality Check","Speers Point Park",286.58
Melbourne,"Water Quality Test","Croudace Bay Park",286.56
Perth,"Soil Quality Test","Heaton State Forest",286.49
"Gold Coast","Air Quality Check","Belmont Wetlands State Park",286.48
Adelaide,"Soil Quality Test","Merewether Beach",286.48
Newcastle,"Air Quality Check","Warners Bay Foreshore",286.47
Melbourne,"Air Quality Check","Heaton State Forest",286.47
Canberra,"Soil Quality Test","Charlestown Park",286.38
Adelaide,"Air Quality Check","Braye Park",286.31
Hobart,"Water Quality Test","Newcastle Beach",286.23
Brisbane,"Noise Level Measurement","King Edward Park",286.22
Newcastle,"Soil Quality Test","Glenrock State Conservation Area",286.2
Hobart,"Noise Level Measurement","Richley Reserve",286.18
Adelaide,"Air Quality Check","Braye Park",286.18
Canberra,"Soil Quality Test","Blackbutt Nature Reserve",286.16
Newcastle,"Water Quality Test","Croudace Bay Park",286.08
Brisbane,"Water Quality Test","Redhead Beach",285.96
Darwin,"Soil Quality Test","Mount Sugarloaf",285.96
Perth,"Air Quality Check","Watagan Mountains",285.95
Adelaide,"Noise Level Measurement","Redhead Beach",285.95
Sydney,"Soil Quality Test","King Edward Park",285.92
Canberra,"Air Quality Check","Nobbys Beach",285.87
"Gold Coast","Air Quality Check","King Edward Park",285.85
Brisbane,"Noise Level Measurement","Awaba State Forest",285.75
Adelaide,"Noise Level Measurement","Braye Park",285.72
Adelaide,"Soil Quality Test","Speers Point Park",285.61
Adelaide,"Noise Level Measurement","Mount Sugarloaf",285.58
Sydney,"Water Quality Test","Mount Sugarloaf",285.54
Newcastle,"Soil Quality Test","Glenrock State Conservation Area",285.53
Darwin,"Water Quality Test","Belmont Wetlands State Park",285.39
Hobart,"Air Quality Check","Jesmond Park",285.39
Melbourne,"Noise Level Measurement","Charlestown Park",285.34
Newcastle,"Air Quality Check","Charlestown Park",285.33
Darwin,"Soil Quality Test","Speers Point Park",285.28
Darwin,"Water Quality Test","King Edward Park",285.16
"Gold Coast","Air Quality Check","Redhead Beach",285.13
Brisbane,"Noise Level Measurement","King Edward Park",285.1
Brisbane,"Noise Level Measurement","Speers Point Park",285.09
Sydney,"Noise Level Measurement","Speers Point Park",285.07
Brisbane,"Air Quality Check","Belmont Wetlands State Park",285.06
Adelaide,"Water Quality Test","King Edward Park",285.03
Adelaide,"Soil Quality Test","Braye Park",284.97
Brisbane,"Water Quality Test","Awaba State Forest",284.97
Melbourne,"Water Quality Test","Lambton Park",284.97
Perth,"Soil Quality Test","Heaton State Forest",284.96
Brisbane,"Noise Level Measurement","Redhead Beach",284.91
Sydney,"Noise Level Measurement","Lambton Park",284.91
Sydney,"Air Quality Check","Heaton State Forest",284.9
Sydney,"Air Quality Check","Redhead Beach",284.84
Hobart,"Air Quality Check","Croudace Bay Park",284.76
Hobart,"Soil Quality Test","Glenrock State Conservation Area",284.75
Perth,"Soil Quality Test","Nobbys Beach",284.73
Sydney,"Water Quality Test","Speers Point Park",284.72
Canberra,"Water Quality Test","Heaton State Forest",284.59
Perth,"Noise Level Measurement","Warners Bay Foreshore",284.49
Perth,"Water Quality Test","Heaton State Forest",284.47
"Gold Coast","Water Quality Test","Braye Park",284.44
"Gold Coast","Soil Quality Test","Awaba State Forest",284.44
Sydney,"Water Quality Test","Awaba State Forest",284.43
Melbourne,"Noise Level Measurement","Blackbutt Nature Reserve",284.42
Melbourne,"Air Quality Check","Waratah Park",284.39
Canberra,"Air Quality Check","Charlestown Park",284.37
Sydney,"Soil Quality Test","Braye Park",284.35
Perth,"Soil Quality Test","Jesmond Park",284.33
Newcastle,"Air Quality Check","Newcastle Beach",284.23
"Gold Coast","Soil Quality Test","Redhead Beach",284.16
Darwin,"Air Quality Check","Merewether Beach",284.14
Darwin,"Water Quality Test","Awaba State Forest",284.09
Hobart,"Water Quality Test","Watagan Mountains",284.08
Newcastle,"Water Quality Test","Waratah Park",284.01
Canberra,"Noise Level Measurement","Warners Bay Foreshore",284
Canberra,"Noise Level Measurement","Blackbutt Nature Reserve",284
Perth,"Noise Level Measurement","Richley Reserve",283.95
Brisbane,"Noise Level Measurement","Mount Sugarloaf",283.94
Newcastle,"Noise Level Measurement","Warners Bay Foreshore",283.93
"Gold Coast","Soil Quality Test","King Edward Park",283.91
"Gold Coast","Soil Quality Test","Merewether Beach",283.88
"Gold Coast","Water Quality Test","Mount Sugarloaf",283.85
Newcastle,"Noise Level Measurement","Watagan Mountains",283.84
Darwin,"Air Quality Check","Newcastle Beach",283.81
Perth,"Soil Quality Test","Watagan Mountains",283.8
Adelaide,"Noise Level Measurement","Braye Park",283.76
Hobart,"Noise Level Measurement","Richley Reserve",283.75
Newcastle,"Soil Quality Test","Glenrock State Conservation Area",283.74
Adelaide,"Water Quality Test","Hunter Wetlands Centre",283.7
Brisbane,"Noise Level Measurement","King Edward Park",283.69
Darwin,"Water Quality Test","Braye Park",283.63
Newcastle,"Soil Quality Test","Newcastle Beach",283.59
Canberra,"Soil Quality Test","Glenrock State Conservation Area",283.51
Sydney,"Noise Level Measurement","Belmont Wetlands State Park",283.46
Newcastle,"Soil Quality Test","Watagan Mountains",283.35
Perth,"Soil Quality Test","Charlestown Park",283.33
Darwin,"Noise Level Measurement","Toronto Foreshore",283.31
Brisbane,"Water Quality Test","Speers Point Park",283.25
Perth,"Noise Level Measurement","Glenrock State Conservation Area",283.22
Melbourne,"Soil Quality Test","Warners Bay Foreshore",283.19
Melbourne,"Soil Quality Test","Glenrock State Conservation Area",283.19
Perth,"Water Quality Test","Blackbutt Nature Reserve",283.16
Newcastle,"Soil Quality Test","Watagan Mountains",283.14
Sydney,"Water Quality Test","King Edward Park",283.13
Newcastle,"Water Quality Test","Croudace Bay Park",283.11
Perth,"Soil Quality Test","Warners Bay Foreshore",283.09
Perth,"Water Quality Test","Heaton State Forest",283.08
Perth,"Noise Level Measurement","Blackbutt Nature Reserve",282.98
Hobart,"Soil Quality Test","Charlestown Park",282.93
Brisbane,"Air Quality Check","Lambton Park",282.86
Sydney,"Soil Quality Test","King Edward Park",282.85
Newcastle,"Water Quality Test","Heaton State Forest",282.8
Brisbane,"Water Quality Test","Braye Park",282.77
Adelaide,"Soil Quality Test","Braye Park",282.77
Darwin,"Air Quality Check","Toronto Foreshore",282.77
Melbourne,"Water Quality Test","Waratah Park",282.75
Hobart,"Air Quality Check","Blackbutt Nature Reserve",282.71
Canberra,"Noise Level Measurement","Jesmond Park",282.62
Hobart,"Noise Level Measurement","Richley Reserve",282.59
Perth,"Noise Level Measurement","Watagan Mountains",282.56
Sydney,"Soil Quality Test","Braye Park",282.49
Melbourne,"Soil Quality Test","Blackbutt Nature Reserve",282.48
Darwin,"Noise Level Measurement","Redhead Beach",282.48
"Gold Coast","Soil Quality Test","Merewether Beach",282.48
Hobart,"Water Quality Test","Heaton State Forest",282.34
Melbourne,"Water Quality Test","Warners Bay Foreshore",282.26
Brisbane,"Noise Level Measurement","Mount Sugarloaf",282.26
Newcastle,"Soil Quality Test","Richley Reserve",282.22
Darwin,"Soil Quality Test","Toronto Foreshore",282.21
Newcastle,"Water Quality Test","Nobbys Beach",282.14
Hobart,"Soil Quality Test","Heaton State Forest",282.11
Sydney,"Noise Level Measurement","King Edward Park",282.06
Newcastle,"Air Quality Check","Charlestown Park",281.95
Newcastle,"Soil Quality Test","Glenrock State Conservation Area",281.84
Adelaide,"Water Quality Test","Braye Park",281.83
Hobart,"Air Quality Check","Heaton State Forest",281.8
Perth,"Noise Level Measurement","Warners Bay Foreshore",281.8
Adelaide,"Water Quality Test","Toronto Foreshore",281.79
"Gold Coast","Noise Level Measurement","Glenrock State Conservation Area",281.68
Canberra,"Water Quality Test","Glenrock State Conservation Area",281.67
"Gold Coast","Water Quality Test","Hunter Wetlands Centre",281.66
"Gold Coast","Soil Quality Test","Redhead Beach",281.61
Perth,"Soil Quality Test","Warners Bay Foreshore",281.59
Sydney,"Soil Quality Test","Awaba State Forest",281.57
Melbourne,"Noise Level Measurement","Glenrock State Conservation Area",281.55
Hobart,"Noise Level Measurement","Warners Bay Foreshore",281.55
Brisbane,"Noise Level Measurement","Glenrock State Conservation Area",281.5
Melbourne,"Air Quality Check","Watagan Mountains",281.42
Perth,"Water Quality Test","Richley Reserve",281.42
Newcastle,"Air Quality Check","Waratah Park",281.39
Adelaide,"Air Quality Check","Belmont Wetlands State Park",281.23
Hobart,"Air Quality Check","Redhead Beach",281.21
Sydney,"Noise Level Measurement","Toronto Foreshore",281.19
Hobart,"Soil Quality Test","Warners Bay Foreshore",281.18
Canberra,"Air Quality Check","Nobbys Beach",281.17
Darwin,"Air Quality Check","Hunter Wetlands Centre",281.12
Canberra,"Water Quality Test","Newcastle Beach",281.1
Adelaide,"Air Quality Check","King Edward Park",281.09
"Gold Coast","Soil Quality Test","Toronto Foreshore",281.01
Perth,"Soil Quality Test","Awaba State Forest",280.96
Adelaide,"Soil Quality Test","Toronto Foreshore",280.94
Melbourne,"Water Quality Test","Redhead Beach",280.86
Melbourne,"Air Quality Check","Newcastle Beach",280.85
Sydney,"Noise Level Measurement","Toronto Foreshore",280.83
Newcastle,"Soil Quality Test","Richley Reserve",280.8
Perth,"Air Quality Check","Blackbutt Nature Reserve",280.77
Hobart,"Water Quality Test","Nobbys Beach",280.76
Canberra,"Air Quality Check","Charlestown Park",280.72
Canberra,"Soil Quality Test","Richley Reserve",280.69
Hobart,"Air Quality Check","Glenrock State Conservation Area",280.57
Adelaide,"Water Quality Test","Hunter Wetlands Centre",280.56
"Gold Coast","Air Quality Check","Hunter Wetlands Centre",280.54
Melbourne,"Soil Quality Test","Speers Point Park",280.54
Brisbane,"Noise Level Measurement","Mount Sugarloaf",280.5
Newcastle,"Soil Quality Test","Jesmond Park",280.49
"Gold Coast","Noise Level Measurement","Braye Park",280.39
Perth,"Air Quality Check","Waratah Park",280.33
Perth,"Noise Level Measurement","Charlestown Park",280.3
Sydney,"Water Quality Test","Belmont Wetlands State Park",280.14
Newcastle,"Noise Level Measurement","Heaton State Forest",280.1
Adelaide,"Water Quality Test","Belmont Wetlands State Park",280.08
Adelaide,"Noise Level Measurement","Awaba State Forest",280.03
Adelaide,"Water Quality Test","Speers Point Park",280
Hobart,"Noise Level Measurement","Newcastle Beach",279.97
Hobart,"Water Quality Test","Richley Reserve",279.92
Melbourne,"Water Quality Test","Watagan Mountains",279.9
Hobart,"Noise Level Measurement","Croudace Bay Park",279.9
Brisbane,"Soil Quality Test","Merewether Beach",279.89
Darwin,"Soil Quality Test","Awaba State Forest",279.87
Darwin,"Air Quality Check","Mount Sugarloaf",279.86
Perth,"Noise Level Measurement","Heaton State Forest",279.83
Darwin,"Soil Quality Test","Awaba State Forest",279.78
"Gold Coast","Soil Quality Test","Mount Sugarloaf",279.76
Melbourne,"Air Quality Check","Glenrock State Conservation Area",279.62
Hobart,"Noise Level Measurement","Croudace Bay Park",279.61
Perth,"Noise Level Measurement","Blackbutt Nature Reserve",279.61
Hobart,"Noise Level Measurement","Croudace Bay Park",279.59
Adelaide,"Water Quality Test","Hunter Wetlands Centre",279.53
Newcastle,"Soil Quality Test","Warners Bay Foreshore",279.53
Brisbane,"Noise Level Measurement","Merewether Beach",279.43
Newcastle,"Noise Level Measurement","Nobbys Beach",279.38
Newcastle,"Air Quality Check","Newcastle Beach",279.36
Perth,"Soil Quality Test","Glenrock State Conservation Area",279.27
Sydney,"Soil Quality Test","Belmont Wetlands State Park",279.1
Newcastle,"Air Quality Check","Watagan Mountains",279.01
Newcastle,"Soil Quality Test","Nobbys Beach",278.97
"Gold Coast","Soil Quality Test","Redhead Beach",278.94
Sydney,"Noise Level Measurement","King Edward Park",278.87
Melbourne,"Noise Level Measurement","Newcastle Beach",278.87
Newcastle,"Air Quality Check","Richley Reserve",278.85
Perth,"Soil Quality Test","Blackbutt Nature Reserve",278.83
Sydney,"Air Quality Check","Hunter Wetlands Centre",278.78
Hobart,"Soil Quality Test","Nobbys Beach",278.76
Canberra,"Water Quality Test","Newcastle Beach",278.7
Hobart,"Soil Quality Test","Newcastle Beach",278.7
Brisbane,"Noise Level Measurement","King Edward Park",278.59
"Gold Coast","Noise Level Measurement","Lambton Park",278.59
Adelaide,"Noise Level Measurement","Speers Point Park",278.56
"Gold Coast","Soil Quality Test","Lambton Park",278.55
Newcastle,"Noise Level Measurement","Waratah Park",278.5
Newcastle,"Air Quality Check","Redhead Beach",278.39
Darwin,"Noise Level Measurement","King Edward Park",278.39
Sydney,"Soil Quality Test","Croudace Bay Park",278.31
Sydney,"Noise Level Measurement","Toronto Foreshore",278.29
Sydney,"Water Quality Test","Merewether Beach",278.26
Adelaide,"Air Quality Check","Redhead Beach",278.21
Newcastle,"Air Quality Check","Blackbutt Nature Reserve",278.12
Darwin,"Soil Quality Test","Belmont Wetlands State Park",278.12
Sydney,"Noise Level Measurement","Toronto Foreshore",278.06
Darwin,"Soil Quality Test","King Edward Park",277.94
Adelaide,"Air Quality Check","Belmont Wetlands State Park",277.94
Darwin,"Water Quality Test","Speers Point Park",277.91
Melbourne,"Water Quality Test","Waratah Park",277.9
Darwin,"Air Quality Check","Belmont Wetlands State Park",277.9
Hobart,"Noise Level Measurement","Warners Bay Foreshore",277.88
Sydney,"Water Quality Test","Hunter Wetlands Centre",277.86
Sydney,"Air Quality Check","Hunter Wetlands Centre",277.81
Hobart,"Noise Level Measurement","Waratah Park",277.74
Hobart,"Noise Level Measurement","Nobbys Beach",277.65
Sydney,"Noise Level Measurement","King Edward Park",277.64
Adelaide,"Air Quality Check","Merewether Beach",277.6
Brisbane,"Noise Level Measurement","Belmont Wetlands State Park",277.57
Melbourne,"Soil Quality Test","Charlestown Park",277.49
Melbourne,"Water Quality Test","Blackbutt Nature Reserve",277.48
Adelaide,"Water Quality Test","Blackbutt Nature Reserve",277.48
Sydney,"Water Quality Test","Belmont Wetlands State Park",277.45
Sydney,"Water Quality Test","Redhead Beach",277.44
Adelaide,"Water Quality Test","Mount Sugarloaf",277.4
"Gold Coast","Soil Quality Test","Awaba State Forest",277.39
Canberra,"Noise Level Measurement","Charlestown Park",277.37
Perth,"Water Quality Test","Nobbys Beach",277.37
Hobart,"Air Quality Check","Waratah Park",277.32
Melbourne,"Soil Quality Test","Glenrock State Conservation Area",277.31
Hobart,"Soil Quality Test","Jesmond Park",277.3
"Gold Coast","Air Quality Check","Belmont Wetlands State Park",277.26
Darwin,"Noise Level Measurement","Merewether Beach",277.25
Perth,"Noise Level Measurement","Redhead Beach",277.2
Darwin,"Soil Quality Test","Belmont Wetlands State Park",277.19
Sydney,"Air Quality Check","Speers Point Park",277.1
Canberra,"Air Quality Check","Blackbutt Nature Reserve",277.06
"Gold Coast","Air Quality Check","Merewether Beach",277.05
Perth,"Water Quality Test","Glenrock State Conservation Area",277.03
Adelaide,"Noise Level Measurement","Mount Sugarloaf",276.99
Perth,"Soil Quality Test","Heaton State Forest",276.97
"Gold Coast","Soil Quality Test","Braye Park",276.86
Brisbane,"Air Quality Check","Speers Point Park",276.86
Canberra,"Soil Quality Test","Watagan Mountains",276.81
Newcastle,"Noise Level Measurement","Watagan Mountains",276.79
Newcastle,"Air Quality Check","Nobbys Beach",276.77
Canberra,"Air Quality Check","King Edward Park",276.69
